    PID CMD
   4018 /snap/firefox/4173/usr/lib/firefox/firefox -contentproc -parentBuildID 20240419214016 -prefsLen 28496 -prefMapSize 241350 -appDir /snap/firefox/4173/usr/lib/firefox/browser {7414810b-6561-46f1-a435-afc51457fbb5} 3883 true socket
   4708 /snap/firefox/4173/usr/lib/firefox/firefox -contentproc -parentBuildID 20240419214016 -prefsLen 34309 -prefMapSize 241350 -appDir /snap/firefox/4173/usr/lib/firefox/browser {21965a41-5ca2-4da8-8546-439245ce8a2c} 3883 true rdd
   4591 /snap/firefox/4173/usr/lib/firefox/firefox -contentproc -parentBuildID 20240419214016 -sandboxingKind 0 -prefsLen 34070 -prefMapSize 241350 -appDir /snap/firefox/4173/usr/lib/firefox/browser {9b716cc6-ea31-4dcf-a30f-caae4af8912b} 3883 true utility
   1543 /snap/snapd-desktop-integration/178/usr/bin/snapd-desktop-integration
   1834 /snap/snapd-desktop-integration/178/usr/bin/snapd-desktop-integration
   1772 /usr/bin/dbus-daemon --config-file=/usr/share/defaults/at-spi2/accessibility.conf --nofork --print-address 11 --address=unix:path=/run/user/1000/at-spi/bus
   1558 /usr/bin/dbus-daemon --session --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
   5463 /usr/bin/eog /home/osc/Pictures/Screenshots/Screenshot from 2024-08-25 14-40-59.png
   2326 /usr/bin/gjs -m /usr/share/gnome-shell/org.gnome.ScreenSaver
   1879 /usr/bin/gjs -m /usr/share/gnome-shell/org.gnome.Shell.Notifications
   1559 /usr/bin/gnome-keyring-daemon --foreground --components=pkcs11,secrets --control-directory=/run/user/1000/keyring
   1754 /usr/bin/gnome-shell
   1881 /usr/bin/ibus-daemon --panel disable
   1541 /usr/bin/pipewire
   1542 /usr/bin/pipewire -c filter-chain.conf
   1549 /usr/bin/pipewire-pulse
   1012 /usr/bin/python3 /usr/share/unattended-upgrades/unattended-upgrade-shutdown --wait-for-signal
   2545 /usr/bin/seahorse --gapplication-service
   4082 /usr/bin/snap userd
   2671 /usr/bin/update-notifier
   1546 /usr/bin/wireplumber
   2576 /usr/bin/Xwayland :0 -rootless -noreset -accessx -core -auth /run/user/1000/.mutter-Xwaylandauth.VT2PS2 -listenfd 4 -listenfd 5 -displayfd 6 -initfd 7 -byteswappedclients
    791 /usr/libexec/accounts-daemon
   1827 /usr/libexec/at-spi2-registryd --use-gnome-session
   1756 /usr/libexec/at-spi-bus-launcher --launch-immediately
   1213 /usr/libexec/colord
   2195 /usr/libexec/dconf-service
   2148 /usr/libexec/evolution-addressbook-factory
   2092 /usr/libexec/evolution-calendar-factory
   1971 /usr/libexec/evolution-data-server/evolution-alarm-notify
   1871 /usr/libexec/evolution-source-registry
   3262 /usr/libexec/fwupd/fwupd
   1693 /usr/libexec/gcr-ssh-agent --base-dir /run/user/1000/gcr
   1607 /usr/libexec/gdm-wayland-session env GNOME_SHELL_SESSION_MODE=ubuntu /usr/bin/gnome-session --session=ubuntu
    763 /usr/libexec/gnome-remote-desktop-daemon --system
   1612 /usr/libexec/gnome-session-binary --session=ubuntu
   1725 /usr/libexec/gnome-session-binary --systemd-service --session=ubuntu
   1694 /usr/libexec/gnome-session-ctl --monitor
   1850 /usr/libexec/gnome-shell-calendar-server
   3160 /usr/libexec/gnome-terminal-server
   2059 /usr/libexec/goa-daemon
   2128 /usr/libexec/goa-identity-service
   1883 /usr/libexec/gsd-a11y-settings
   1886 /usr/libexec/gsd-color
   1888 /usr/libexec/gsd-datetime
   1963 /usr/libexec/gsd-disk-utility-notify
   1889 /usr/libexec/gsd-housekeeping
   1894 /usr/libexec/gsd-keyboard
   1898 /usr/libexec/gsd-media-keys
   1903 /usr/libexec/gsd-power
   2083 /usr/libexec/gsd-printer
   1905 /usr/libexec/gsd-print-notifications
   1907 /usr/libexec/gsd-rfkill
   1909 /usr/libexec/gsd-screensaver-proxy
   1910 /usr/libexec/gsd-sharing
   1912 /usr/libexec/gsd-smartcard
   1914 /usr/libexec/gsd-sound
   1916 /usr/libexec/gsd-wacom
   2580 /usr/libexec/gsd-xsettings
   2158 /usr/libexec/gvfs-afc-volume-monitor
   1705 /usr/libexec/gvfsd
   1716 /usr/libexec/gvfsd-fuse /run/user/1000/gvfs -f
   2350 /usr/libexec/gvfsd-metadata
   2740 /usr/libexec/gvfsd-recent --spawner :1.20 /org/gtk/gvfs/exec_spaw/1
   2222 /usr/libexec/gvfsd-trash --spawner :1.20 /org/gtk/gvfs/exec_spaw/0
   2144 /usr/libexec/gvfs-goa-volume-monitor
   2129 /usr/libexec/gvfs-gphoto2-volume-monitor
   2169 /usr/libexec/gvfs-mtp-volume-monitor
   2016 /usr/libexec/gvfs-udisks2-volume-monitor
   2094 /usr/libexec/ibus-dconf
   2183 /usr/libexec/ibus-engine-simple
   2099 /usr/libexec/ibus-extension-gtk3
   2105 /usr/libexec/ibus-portal
   2604 /usr/libexec/ibus-x11
   2607 /usr/libexec/mutter-x11-frames
    775 /usr/libexec/power-profiles-daemon
   1117 /usr/libexec/rtkit-daemon
    793 /usr/libexec/switcheroo-control
   2301 /usr/libexec/tracker-miner-fs-3
    807 /usr/libexec/udisks2/udisksd
   1251 /usr/libexec/upowerd
   2336 /usr/libexec/xdg-desktop-portal
   2343 /usr/libexec/xdg-desktop-portal-gnome
   2356 /usr/libexec/xdg-desktop-portal-gtk
   1579 /usr/libexec/xdg-document-portal
   1599 /usr/libexec/xdg-permission-store
    771 /usr/lib/polkit-1/polkitd --no-debug
    788 /usr/lib/snapd/snapd
    363 /usr/lib/systemd/systemd-journald
    790 /usr/lib/systemd/systemd-logind
    555 /usr/lib/systemd/systemd-oomd
    563 /usr/lib/systemd/systemd-resolved
    567 /usr/lib/systemd/systemd-timesyncd
    418 /usr/lib/systemd/systemd-udevd
   1526 /usr/lib/systemd/systemd --user
    792 /usr/sbin/cron -f -P
   1034 /usr/sbin/cups-browsed
   1005 /usr/sbin/cupsd -l
   1038 /usr/sbin/gdm3
   1051 /usr/sbin/kerneloops
   1041 /usr/sbin/kerneloops --test
    891 /usr/sbin/ModemManager
    825 /usr/sbin/NetworkManager --no-daemon
    835 /usr/sbin/rsyslogd -n -iNONE
    829 /usr/sbin/wpa_supplicant -u -s -O DIR=/run/wpa_supplicant GROUP=netdev
     51 [watchdogd]
